RepoName,ContractName,CommitHashes,ContractFilePath,DeploymentAddress,SOLC-Version,Vulnerabilities
truffle-box/metacoin-box,Migrations,a19e96a61c38e5f4f141c66b16600ff5949e066c,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/truffle-box__metacoin-box/metacoin-box/contracts/Migrations.sol,0xaD817D4c08E122288880D99B35BBB5B261304464,0.6.12,Slither:
enjin/erc-1155,Address,d16ae70ca55c33353ab51bd2b6f7954120de7fc1,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/enjin__erc-1155/erc-1155/contracts/Address.sol,0x1cef4a97daebfa53eed75756b91bcbcc009c2028,0.5.5,Slither:
Fantom-foundation/tokensale,SafeMath,eb260602c431f6a522bbfc39100dbef9ac8a320a,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Fantom-foundation__tokensale/tokensale/sol/FantomToken.sol,0x016a1ceca7b04efb966d96fdb5934a9f04bace49,0.5.4,Slither:
paxosglobal/pax-contracts,AddressUtils,fcf9373510750a2201a36e48ab488bc7b5cdaf29,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/paxosglobal__pax-contracts/pax-contracts/flattened/AdminUpgradeabilityProxy.sol,0xf2262f092063cd19050f7e037cbf6401b58e9035,0.4.24,Slither:
paxosglobal/pax-contracts,AdminUpgradeabilityProxy,e011ff11a9b88e109ea44a837a0b8c8ee268633e,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/paxosglobal__pax-contracts/pax-contracts/contracts/zeppelin/AdminUpgradeabilityProxy.sol,0x9be89d2a4cd102d8fecc6bf9da793be995c22541,0.4.24,Slither:
OpenZeppelin/openzeppelin-contracts,TokenTimelock,90ed1af972299070f51bf4665a85da56ac4d355e,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/OpenZeppelin__openzeppelin-contracts/openzeppelin-contracts/contracts/token/ERC20/TokenTimelock.sol,0x7f0db803fcf938774ff6b553ec73572113723f75,0.6.6,Slither:
Firstbloodio/token,SafeMath,2ee2fccb4d111bee461de569bf792619cab40650,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Firstbloodio__token/token/smart_contract/FirstBloodToken.sol,0x489f666b5626a60c1f61cbeafda0905ac3eb2fd6,0.4.23,Slither:incorrect-equality(11)|reentrancy-events(238:240)
OpenZeppelin/openzeppelin-contracts,ERC20,90ed1af972299070f51bf4665a85da56ac4d355e,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/OpenZeppelin__openzeppelin-contracts/openzeppelin-contracts/contracts/token/ERC20/ERC20.sol,0x2b3a1233a4e7c10696f2ffe05cceeaa5b194ea4c,0.6.6,Slither:
OpenZeppelin/openzeppelin-contracts,ERC20PresetMinterPauser,90ed1af972299070f51bf4665a85da56ac4d355e,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/OpenZeppelin__openzeppelin-contracts/openzeppelin-contracts/contracts/presets/ERC20PresetMinterPauser.sol,0xcb24224188097d3b1f56c3844ab01f3af1dbb3e2,0.6.2,Slither:
Uniswap/uniswap-v2-periphery,SafeMath,1d6faef5df111b576e2cdf118573c2d0da5dcd57,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Uniswap__uniswap-v2-periphery/uniswap-v2-periphery/contracts/libraries/SafeMath.sol,0x81e11692caa476b886ce81aaa29c2906d48b9b97,0.6.6,Slither:
OpenZeppelin/openzeppelin-contracts,SafeMath,90ed1af972299070f51bf4665a85da56ac4d355e,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/OpenZeppelin__openzeppelin-contracts/openzeppelin-contracts/contracts/math/SafeMath.sol,0x7319ce7cce71648b01ff3d2f44d9dc85f2bff7e5,0.6.0,Slither:
