RepoName,PRID,IssueIDs,Commits,Merged,ContractName,FunctionName,ContractFilePath,Vulnerabilities
truffle-box/metacoin-box,11,null,a19e96a61c38e5f4f141c66b16600ff5949e066c;21d614e014a77ba6474eaa569cb73b51bb975f02;b7e75f2f30409692fc8b8d6a6fecd51551529897;c2c26e3c8e62dda5e7c4083f46fdfef63573cdff;9c42404240754ce7f6502be135c537cca7c63d54;3bf9d4af39e37fd2eb4427459d7d34429b239548;ddee379433c3260ee79651a0b73775815e397625;dc6348b260bbda549bcb31d9679d51247f844252;25d2aabd6bb39a8709aab547c0033f81da809577;7abb9cd2e757f453efebfdff705ccf678e968f72;ff8e5d730187e4e89c61460cd50b00a734e45db7;48b62aa0910f55a78b05aba2ed36e4701647457d;2485bf9ec81bd2302f034260534e2bf3e902aaf5;bf2fd00106a0dfd95183aa8c5e3349847a5f0798;7d5f518fd0ffc76042f4a04461d0549342d43314;c3e9674e39ac5d404509464556915e812ce64084;e0ac02e9220a8c727baad223e360f3e8761a3d54;9b0ffe69b930bdc0ac165d3d98e15ea33f3fadd9;9c0913364a7c3f4effea9fa8168cf9d381df24b2;9e94107f73efca63f04db6096a3f4581cbd39828;e3a36ffbd05311c4e0a35101f34ebc0b5a174a90;f3e030ccaf98e60c1655c50c3dc4aeba9064026d;081a6f0c47b4cc707167dcae6c1551c1cca06fca;ba6dd4f528454d93ddde4232635f4d166a7b74be,True,MetaCoin,sendCoin,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/truffle-box__metacoin-box/metacoin-box/contracts/MetaCoin.sol,Oyente:integer_overflow(22)
Uniswap/uniswap-v2-core,null,null,4dd59067c76dea4a0e8e4bfdda41877a6b16dedc;816b9e3271d93fe444af876dd2f01637a8149f01;8d6bfb3473d220fa84a67873210311ac0fe0c2e9;5419f5409d031813dfa5200a0f33f631800cdb6d;816075049f811f1b061bca81d5d040b96f4c07eb;5e59a166de60cabf1fb0222bd6b9dfb10148f382;6667730b74afd3ca0c6823492a2314650f3c0c21;1d9785e33e89f5a4e00a930e6c228a7e87dc2d46;7ad827c870677205886fa75460c5f66ea9084518;7c8aee00487293fb1e6b4ac8b1f4c61933bdb959;b19ff868aaef9336de9c83bd400ab40a598b1875;51cf2f11cd387c4c4bed4b8e0f2e46145e650c3a;27f6354bae6685612c182c3bc7577e61bc8717e3;272713c81b4b3fc413154f85c774f6cbaaf59d23;0897c5b05c32e7db31b1957aa670ecce9247b85b;1d583b6058144f01d939f1075e81a68c7d530af0;bcf5d74da303b21b288aeb6f5ebd04f456ea6726;840527f004d32f82916c600cf4128b1a168bd707;d60d466c836adf8052ae8923ca5d927b0d3156bf;6fa21c246d66d309d0ae8ab6cf1597c130f7c97d;6cf43db3e156e254702c27ad50013cee9d106d63;843d02bad018b63ae45887ea8f4a5566c0444a58;6f10789f92a1571d5d492b730fb9de4691ff9b27;94a16db6dda99be96a2c176b004c03946c2ac4b2;2997ebf30f2e2a17b286f0353e21a732d18a6f21;10be569bd35c827c3935413b32a40fa5f2b0d8b7;4ccc1509983c3470bb67f5f6e457b23235a5990a;797706d8b5b1c5131d5f42e1f0e774ac457b62f8;1f563ce23b6dbe972d667c79058d0299e6f10ff6;1136544ac842ff48ae0b1b939701436598d74075;11bd4b0c112cd810e49a86596004ffd75bf6d89e;170a739f08d04e3101a6eb5c0006550b718fa068;b6257cdfc3f716edf6dd000781ee69a570df7795;ccf5f7e46e64c56b8ec2c3422acb65639344913a;642d21d7ae11c6829b29736758577779c6bc3a19;505d0ac13817e2c916938c0422701737c4e164d0;b742e92502ea86d9ac2e4c6460ca1eb4db04fa9a;3f5feaa3699edcf48118af6c302c754692178fd7;55ae25109b7918565867e5c39f1e84b7edd19b2a;188eb5ac6d5826cae4120c07918342db9dd76b14;7831f8155ae4218ab5be52901a4973074e637460;5c042758e8d4d369d2c0466c0e51924380a4e1b6;986d2491bdceb16084c05400556ee3a12f2c86fc;05dfa2f9bab4c46f71210aa2e1c87ddd33dfc362;a1e31c29a6b6810b35e025fc8abbadc6d311d2ae;0e5d00f491cb51552709df825a8a728b0219f8fd;1df07b38444ca97725f095a3319a1e210db834a4;e382d705d1c15ef75e81265e3307ed86832103a7;064aefb04c3b7d62550a45d28c2806d6ee208f51;1a2d91c440b4df86da6912539080ad4808c2b901;ff7bee425265d5b773354a0e245104f5f4cb7642;bab77458b22d0e39d908491a132968c0c37f3768;2d84a7f5f57967275ec1baf353a2fce17bfe9084;6344c31eebad9deeaa3f9d61cd0901d187172406;cfc9eecff7cf1ebc5a6e777f553cdf2d5969b409;80ce1e48c0251e87a3dec08e86e2be43a5b15ae4,True,UniswapV2Factory,createExchange,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Uniswap__uniswap-v2-core/uniswap-v2-core/contracts/UniswapV2Factory.sol,Slither:reentrancy-no-eth(34:35:36)|reentrancy-benign(34:34:37)|reentrancy-events(34:38)
EthWorks/Waffle,217,null,f7ecd9c1f7d88b3bde35e6d15ffee545fc82fb21;a9c69f8d84fa0176b76e078e6dcaccae532e6071;27d3c93f2d9cc0238afd388ac35974d49deee4aa;20475f7a6d7439eea788ed22ca7766c344ad714d;3b0e63aaaa78101ef4eeb251ac32e809615e98d6;452e41a566bab0cfde5daa023a40af411c56efcf;293b55c878add9e6a4c71c60953f556d256af99c;cc925f65929a9128944718b90579cd0808622f0e;8c5942d326c43673257f02e92c37b45c6d2d3ec1;c60acfea651ef1503f5b47ffada6f009ee0dcc0f;d539659961c5404688236a10c5b7cb44b768585e;7b739b19d63fd5f65171c991cf2ca56164f2a377;e1e10b87ade7bd0e649e94dc0d93164206b402be;a0d756d0128ccbe261d7f76f8f8032621bd443bc;84efbcd2dc6a56f1cf82196fe6697cfe39c694ee;4c4d3000e319e6d687d9fb10a4d29133d19e9f28;3bd0a8c0fb39c483b002d57bacc215f2ac14b458;f290d5b57ab0c1393aa174102cb163aab0ed493e;865b6fa32419212afaf809fca595aafc148aa756;926961fa81c58a05f464286b1927f50df90b3c96;3d12660d270ffc7070fea0f954251712ffd95511;69ccfcdcc898a3c0110d79e9776014bf797c0124;4dc2804b4da2fe6051a3d0e0a396d571dbc7a97d;c31a6b85ed844fd684cb6bd46d0cc9f8a0eb853f;c6beffb06d1998a0f5fe703f1d35ed01155341ba;c18a14af1507ad745ec57df10e36c6ca46d2993d;870ab6192b303d4b4414c392632d47aefeb5afaa;a8ef98909e4f5998549312b67c733456d25253df;6c093f41acffc59e79bbef9ed6cec78528ec1874;18d759e089dc15009f5cec3e9afcffbbbf69d1a9;f676bfe6342bfdc31c274475c2907cd355065bea;ec329d472cc417eb48ec41bfa24efcfbf698f42d;89f2ad5e6d47ccc679676dee4f582c74e6ec2a21;79b68298dff18a7770bdc013bb98da7a1df8ea63;4c78bc944d265fbe6d87d9f35e24fddb3d0e387e;b9a3ad2c2f1977e64a16b89dcfa4cad2ba761a69;04b39a866b16a258d286cc27f76ba751af254c10;77ac4c84210c7c58d6749bc247769044b11af3eb;3b799819b94bc4c84b9b50e660e18485de184a42;ec484f03d9f467821e09d58e5b0826352285ac61;078d68f8e6fa519503c42b851033b9516ec6e34d;5866a4a993bcf6aacf276956c24816b8a62e6833;10eeb0eae0a8605698461c152f855c46b63dfc1e;e0aa2c47f8c0b8c1f0a228e556ea6d5ca3a304ed;487905101c111ca4f92f090d824fa316b3f469c5;a49c2ca1e191fdb6bf5afe9a92d6e9d889a0d7cd;e597b2bf3e568b9d624902ed12a97b8b20f99674;75744b1e6e64216fd20e3901526751b5ac418fec;98157e0250ee79fe673a141f3d40eedce9545a7e;eb692e6a61b0e450fe6e1f2963930178e6e6deea;cab60cd8e3b11485dfae57c08a2828b0ebc97f7c;b1ed79ee4e52dfb0dd1c6fe9434f4e4d3a293a7f;991cd89112904369fb7784987479b83599288fb5;978cc065694000bd84caef9eedbe5c59ea00e92e;1537e3fef9ce731bad7bc8dace98fe6263e2cc85;431bfd370ad30c52cea9dbdbc3f5ebd2c6cc9dca;fbb054e6e1ffdae517fcde9c31eedd8bdbd56932;ce9e228879cee620cc6fc50c4e0ef568765b644a;c1cc6b0bf614265ae4a950d20652cc8d20f0c708;f3156fd14034c4fd906e7ffc67f2adc210aefc2f;bad0fa72bf48856876b5243a2bb288cfa4023ad9;08ef35e2fb6d59865c5eb6696e02c45ab3abfd93;27f3e134e1c3c0d0b6dc297aaf1aab49313aa57d;c64cc6469238d37fb49254eb21ff79efc7cfc579;4aa561b67b965a8b80ffcf87d3327d6e801d5368;617e519ac17f1ff03c96b132e7e0639ff419c830;adf8d245d4d826b544b797068f4d314fce6a6ffd;40c0ac69c0c13b1340374b46eee3d293766415de;af12905fa34765fac4a1b8c137b745624c8a40eb;4cb7322c0bb0e43643ac753b9d356ea5fbd09188;16c425eca098525854b9e9c83b5d779f4da9c84b;9c64f523cb82fe7366736316518ca9ad1bba8b41;425bc144e0e52db0acbfbb0e95a5030ddb93c466;01c594af28947f9bfc459e4de5afddafd919834d;b5e1ecc9479663a982951c095932f5b1c98265cb;a66ad0ec86b6a9edf147facc6c1feb5f5b13b70c;9fede7173dacb82feb58b0a9a497f3c2da2fad95;0175b3efe0e8db2dd0308e24596d7bce2c65a701;86276ef50522429eb32ed91ffe0eb9830fea5903;86938d7b0ab14f57008ad6184545592b8227469f;a84b0ed19b97b03995ca40e59ede0df189180b87;8bef8bff6540e37fcf98a1b0415a5139ce546980;b51cdfeb4c19d923138918ffb2c186819e43a3d5;db73128e0a88636a4bdbba4a550963c1598ee9e9;8f51208186d26651d36ed77f10fdd086cea19d30;c894402372668de9e22964a7e79738de4cb9fc28;2ccbe4b545445edb03832155c884cfb7698f6062;65904a9ec368390321764a95865bc51f6b8d66af;47c92cf97cec29c148473a73d99a78d59c6182a5;a2011ced753853ca3233e960af2e43c967e2808b;0c674d8208dc357ae11a6df1914b0572f092a5da;bb156bf53fb6d11d70fae711258f152213aa5e72;1f321ade01973e50bf384ea66f1879111c57ab2d;e07a53dd80b3768a862623625858a87b64855a5e;a6f4758b27c3987af69ad5198a3a54ba3085df0c;86e2039306c9d3cd5cffcfceffb9cadf1cd24945;1995f931f3affa32ad4d50e15eae3ac27bd277e5;aee298edd865c8c37749a2ad1a3d2be3749e56aa;2d29aef546741afdb573962f790b0a23467eb6e6;1b0b4062e21023d4af03fcc18397d2eeede7099c;d184403b1b1ab31e8999f7129a0aa90969698980;6c42f51a4e6d766e8bcc0294384a97efc8bada8d;9f4d5071dd496eb7c3bd4e644a6d889909a53811;fc11f445ff9bee7fbf6cc4811e2d9bc47a9dc391;e66211b3914a6cf1e7e60d3259875d4e3a649115;f90eab0189e282d55954cdc47a91f57a1d25259a;d12c6eee60f82eee0d72a93d3278153e8729c9a0;086917eaf283da01d0927ffa5215a2ea35bad805;f884c64dd94d4ff13a17c78490e6b4495b88d11c;c3ae5d6063fcd63bd0e675f990e3fb74836b8d11;e0cd1fcb91bfd6891eb6be8c8a2217d5c237708c;462e359f7a47fc3966d6bc3c887c9acf4a7a7976,True,Doppelganger,,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/EthWorks__Waffle/Waffle/waffle-mock-contract/src/Doppelganger.sol,Oyente:integer_underflow(8)
Uniswap/uniswap-v2-core,null,null,452b531205d2fe9fed2fddcadcb2d3e538391236;0b37035f04069adfe534e085e51f2e4bb48e8870;3e228282d345427012531271de2ed6eccf1e6619;d4661b1ae76a66561b8645555868852180b10f57;1f5c9aa9e73b2d105739cae3d51bfb2ae5ef10c0;7c6d60dcc171d3d90403e7b48df23db9546ecd79;a55aa4bfed0865dbd29642fdbc474b5694461a2e;5ea4c937f4aa7be463c78ab10c1731a9b8e3aeeb;002b82d723be4978e879746fa4b5d498d8cbf1ab;85d6435ea25c15f52d1d7a1bb472c08e005da4a0;585ee2ef824db671b71e351a91860a003c05431d;794c384702785ad31f3a2e6289771b06c7efe635;0d35e31a899ba895f95e4bf2852f5b854e158c5a;524b14ed145aa96729dbe816eee7a334aef6768a;1a4837bffad484d468869d8832a65b0391d55755;ea5e63c427bb54510445c3e7bf9cf241da709d82;62e4187562aca5ec69cc016496e078415c83a985;b972227df84d179a2ece31f5080a8a63091e15c1;0781322e0becd7d616e3d88e35b01e0e54ee6fd6;d1c8612ea3f44eb770012028b174cb63efe4046f;f04890ef4c28e475375461a7da4bbe49d4d5b8ba;ddbb5e0ba0e3f0f4c4d7cf05ca5a930228c1b2a2;cbe801b54f2a05198b9e7a8e2c437d0f745d9b78;5a84023836102e2a9029ea13868d4c1b7d1a5336;9f15d75925efa9b93bbf15a21672aeef3f50781c,True,UniswapV2Factory,createExchange,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Uniswap__uniswap-v2-core/uniswap-v2-core/contracts/UniswapV2Factory.sol,Slither:reentrancy-events(43:46)|reentrancy-no-eth(43:44)|reentrancy-benign(43:43:45)
raiden-network/raiden-contracts,1273,1209;1209,93230caa554f6f29e55b4521aafd0af20b710b1f;d82253ca600c1e48305950eca103314c2bebf280;ea70b783e54748e045f3fedfe19752d761401a1e;ce45476577672b73e810fb2f06c6421e1c426624;bcba1582a0e75446dd9fdaf871da76b529a95159;9f2180548fc7131d35daed3d9224864c726d6802;88710175886b81d2cef238cbe16d839fd79cfb9e;71a9223d77a671edb1a5c22a96f532fad3c40f12;84743b0ad46e65b009fc1c504688cecf62ed48b2;7e783a69f0eb8f85a9c0966768f5a423c34c1be2;0527f005daf9861a42c142357a8b550a43d9de7b;48dc42aad64abccac9db76c5bb50d23343119303;f989d78038c4e69a33ec22b05d25cafd960c0a83;b3240ac5cdd15f6ae386f6d127dbc05be829ecfe;e38c49a541770912552af13b003f84c96804155f;4404a87c2cf7b13d70fd7ffa8c2cae7b867748d7;2d8ddb3191d659124b988297ad39ff394ba76dc8;f79c143677e84437dfb61802c8b48a59628a367d;02301e6d927cf999c2b295ad855150200602fe3d;15a63584a90cb536bfd46df96fa81f2222c3e680;bf405d3ebfaf8e2394b7981ed4a2843fbff48349;a5d69c836becbf3a14f741dd69352951997a760d;e55fe93fc0fe980667320782d5568e620225a2a3;5f1b555f386124d5b4542381a86fbad6d53adee5;79bb9d608845db0e6f829d6fb4a25969373369b9;8b49de694a13103f13aa50b7f5d877f8b7bff54a;bd66979c1dcd09c31de10dcd6346949a744a75a2;32fcf2c8cff45f76289c606e5fac608c321eb06d;61a28581ceac264924b982d906e2e331a31f3610;243ab930af9e79ba5555289d5e1610534cf0e6be;8540ab72aaa888613c97e42ea63152efb8cf5735;df2d7ae8369d9500d7848f227ea171f87c5e4906;82d6a125deeed67ac794f229cb9c2077913dbe4f;9252e0d6ec2aec527dadc33b55798ae36bdaf081;46eca8b51c318b7a30144ef616506bef8fccd2f4;d3becfb354e250979f1fd81b8966613eb8dd9ded;d85f5dd582417836d5444ae3fe4a3787d5ca9f81;b52ec4c120368184bdceb71a5173b3a29f4c7098;7d6648ee93b5bbba9b2693c9032d4065390a0532;6ccaccf003a666a9efea51bc5a07465e8c78070d;9d8ab83b7bda303ca6332362587264766a44c587;b0e3d193f935fc6ddd32b82809daa1664cc858fa;7b5c5f1eedf0385bcb5a3db1bf25d3ff24b93f9e;e4e43d5eb957f9a32ffebe044410469213e7668c;fd8aac4a2602bc780bd62ec8d0bb9cf03175382f;8235e87e49c78ddc956acec62450c4e3e30f2186;9523111e7fd09fd9153a7c2e230292466e34d675;927418a16debaf8feba9542d80fb1e542a4b148d;a61fc6c61b38c8ec722d8a762ed1945997d3b64f;3992f77aaf0650dc1b5109145097f41bc3459b71;350acf5d9e1d3eacfcfd72a044176c6409e0c773;9984a498d1228580b936a4c248aa55092027c87e;e1b5e5b8a4d060998be504b19c5748c0994494c5;637beb979e783fa25bd08b66bcdd47026d4ad6bf;b1772dbbcaed160df6f4baa52e713f95d2fd147e;4a23946d9169c638924ab190a55500e0b8b12c03;b6514eeb6482cd18cbe64896f3173fbd4f69ea07;1843db817fa4178a20efd1015ea62ec7ef24465f;eb515a30565f26bd28533c59d7739a7e0f79915e;af6bc3d0fdb9935098a218ba5b6a196bd0bd7822;3a858d7dcf27a13c13c708cea6b92f14282f9234;41acfda17af242ad6ccf23edbd4921e60b453537;e18148641ed5b049bf93e074a7511e96c2812bfa;30230b8863c3fb115d6d4e83e3a63187ac34c61f;10be23c1d55d2e00420e1e7690aa344b6f9ef9e4;02348d9a71cef187fbeb48fef8612abe30071adb;014964d95325aea25df59ac6602cedb647a0e4ed;334cea372767ec87c5e01d39f6dd1970db7c88fc;ae153c55b203eb3a2c3bf456ef9fc3bfdc953a39;d30d5f787f1c3c324b2d9eba76cfae74e4ddc228;178413ba985c802be289298b34aeca2cdae877b1;6909d7abea5c8ae87d579d675aa1a217f7504a11;655fb80c9d35352f242d02d353e6891047aeab3d;3f74bd6449bdc393f8f82664b8892475c2b2ffb4;f0460266d0109b273e8844474c06a60e806c6d35;31ac8a11877e984797d2dc06308805eb957e2b15;850b13aa00308a8e49ff73b2d265263d224cc108;f1d00a0ff12bc033322753df9a98a0417fffcb16;2c9381491dc7ffce23af8a1bbe6d754b2aa139e2;e1bf5b6d1ae8400f497657c0ac1329fabdb97605;171eb92fb89d448f8031fd5d186fb8771683a3d9;a32b466ceba8b9c96b354a5d44fa2c21a05100f3;06646652a3bd449ff13dbd362a9fdb85ca8f7f94;2ae0ecc3ef329b1378f1ae1c41e54e44cdd24f3e;deeebcf9596a349ad5efa49774238ecd47f5bc6b;6f082cf490dad726918a157cb16dbd426aec8620;2eba4ebe03f83933f32c7d01b9608fcdbe1c676c;472941163f5f6bbc262375990d7b2d0d00a68b20;d8160920d3d3c5f3035d9e007b2933c7d4543ee6;930ffd9c0e130ef8086cdf94c81a3434a1b66eff;b1ad5f5037c84674b21e538f44b14eb5eac42300;5ab370f3d828172d76f40bae2d2e1506f0e0acea;dade4e300346be6f3a5981e47fc60a890b55f483;4ff6726096999b77bb8c4f07d1fb684f932445a5;9b900203c517db210b81893d41ac60ed20f7e205;52422ee6ae55756862a714f4e65136f3118661d0;c7ed026051660181b01d6711f2185fb458d8218b;4437b8b866b210ef12672d018345d37b40cbccef;c43173b4db12163936e4ee9ab456fb97b4e38b12;18cf997550af1d16f28cbe5dfee4525055c5c824;e50eb9bb5aa8e1f44d0a278901b3a5e46c369eec;bf71629767117ac024ecf3d4f82ab24b5c47eb36;ba00dc7c06ded73aadc0f6b3d64f90586bf9aa4e;09a7c0117282c214af27537906465be41b4f6f8a;25482e961b74b2ff12402be70c91ec33a0bcb9e8;0dbd13db68df9f1215436604adad08171846e643;af5b33949c90cfbf8d9bad3d6f5250079e92d598;2e7cf7591f93b66b5edf2f3fa8ad568d23552fab;75f42f55d8122594e197dce006b05455ae8d9c88;f4e82ae54e6ad059be9e01dc9335c451f34f7f1e;1f501b3001f3664414b885b30830ece49da6aa3b;0c6df7af607c2271635bc2173a90cb5dabc3598a;c63fde82d503738201d572655bc1f0754d4fe8c0;79bf5fb118f986bcd88243d4703307ec8bd57be9;168c7e1d2ad5fc10e2dbcfeb047019c63f4a6faa;c901f4fe7b59c676dd06bb2f3bd8eac71ac68223;03898ddb50c4fc82f11ebfc53e8a3dbbbc8f78af;f7290bc8a32ccff97c788fd0de3f4504a367dcb0;66649a897cc160388eaf81dbe2237dcb971ad6d3;7e11dd0824dacb437bc35b62dd5ecb41b55ddc8e;a3a79a0054173f56c1ed75378e964bd4bea6750e;e8c6fbfc2aeb33a8f29d626f427fb456aa1d36a0;e6f01c726bc758906d9643b06e60f3fb8aab6835;11f846b0c192e3a51b445b8599ba6226802b0ea1;b9fa29d913d032ffb19f941058bb96495a23bd47;7e730f68a1ca2eb006d8c7085a6b51de592fd79f;84aaac0b0a5876b9f61f223a2a4b01e2f7e7e982;cf7bcb98d7dbf46b3501917255b6a3f6f9c3eb50;83f57c343e1446abd890389d2ae9703b178c3068;940f375d7484f8a9a8ab28f44cb7a3041d82c376;d98b98b960fa66435325429f8fbadcf82e08c3eb;769d43a96e3422ce6512da7b05856b4397f85a3d;8d3d73f0ef5666c91e0e4d140563d0be836953e0;f30d868b1ccde7418ae863b7795b5cb514ca7a4f;a8af89a663770d6cf4312017c684293f8b144e91;a45b95f1f3a510d5354fc6fa131268685b6ba753;8c224dde659d01ca15719c8b8ff2193bb3fefbd7;dfc0da69e33ddffd2d6a13d36775320c425fe70b;75727351f2bcd09a2a111970aa2967e02122ed9c;288b39a547d47fe04daba1f3f1e1a7809c07855d;b6c42580566cec5445bf40443ae303de925383fc;08965c26f1ae71a93af87ec80a55796c19481902;f3dca44e28d49693dab23154cb8a0845840aec5b;54c5ee0aeed8a720f171a014d079a73381533258;a1b8db6c3017a5a2fd9a39c4b8bff5f85d9f0163;86b6d5da2c1bf957a34cf760259e7c2e0687613d;f274d45eccfaa998da7ea53c66bb4ee92b164a55;f16e97f86b9d2f3149b51c5923a84359be692aa5;5755ba72f8746c478c7be782aa96c6d872ab57c6;deedefd82d0c8f5195f323cc2eca770efc681db5;c38cdfc3308e0f27ba75a23f3e5260b8071b00fd;52e158578d311432440d93e75ada68b7c609b765;8577f838e205d3c9de514bcffff4a55c35f647ce;c256728e24a49f2715c611365b59c63c5956694d;953bb1f07bfb0e9e27e8e7152d870768b4085a74;d29e499cab8c4a1725a9ee2486212aab61093f47;e2ffab32a1e2b7a13132c6322e25ed8d1df2e16f;767482bbfad26c31ec50992111891827e6f9116b;1ad9038b164d30098c82ca3ae4b23a268a8316d7;83d5555758636a426d89362f6d00388dab599131;9cf88e203a6c3bc9164b0e584f0af2bd44638da0;b95de6828a48ae38b2800f159d263a7b6573747c;52e48004323cd3397e595135e44fc90395307335;3efde1c64777ddd44639a33d2a53a7bfd008e6e1;66c47e5cf302b37cb98871f3a2e061a9ac68418a;8093458bf189ca54a7df3c9ca61557ccc57dffaa;0642dd0b4ebffc7d4cc6d2e212ff6479184f210e;7128e5a5956d8e9f06faa62d2ed48c2a1b0428d0;b26667a0bb9cdc4874360de5dd0c12b7a7c72a07;a61ad1c7e1af084c875e2d70f721be083be87e40;fdcee22d22aeacb16efb58c3a324ac20c01cdb40,True,SecretRegistry,registerSecret,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/raiden-network__raiden-contracts/raiden-contracts/raiden_contracts/data/source/raiden/SecretRegistry.sol,Oyente:integer_overflow(18)
dice2-win/contracts,null,null,b0a0412f0301623dc3af2743dcace8e86cc6036b;86217b39e7d069636b04429507c64dc061262d9c;916708bc6338123a07250b3cceb3fa853cdf23b1,True,Dice2Win,settleBet,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/dice2-win__contracts/contracts/Dice2Win.sol,Oyente:integer_overflow(281)|integer_overflow(280)|integer_overflow(277)|integer_overflow(290)
Fantom-foundation/tokensale,null,null,eb260602c431f6a522bbfc39100dbef9ac8a320a;08ba843f18819299501dd44f54537d9bdd6e6aab;eb97e0098c301134ab1df6c0d53ef02cb2e077d5;6544074b42d2f2b98ef137cd8bb7229e0ad7b34d;d7c927a8e1fc2fa21715e373a9558be8a9b56274,True,LockSlots,unknown,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Fantom-foundation__tokensale/tokensale/sol/FantomToken.sol,Oyente:integer_overflow(203)|integer_overflow(202)
Fantom-foundation/tokensale,null,null,eb260602c431f6a522bbfc39100dbef9ac8a320a;08ba843f18819299501dd44f54537d9bdd6e6aab;eb97e0098c301134ab1df6c0d53ef02cb2e077d5;6544074b42d2f2b98ef137cd8bb7229e0ad7b34d;d7c927a8e1fc2fa21715e373a9558be8a9b56274,True,FantomToken,unknown,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Fantom-foundation__tokensale/tokensale/sol/FantomToken.sol,Oyente:integer_overflow(202)
forkdelta/smart_contract,30,null,f2fc60430a94840659f19df324a5f31a0c799ffc,True,IToken,unknown,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/forkdelta__smart_contract/smart_contract/contracts/IToken.sol,Oyente:integer_overflow(43)
Uniswap/uniswap-v2-core,null,null,f2d4021498ae02e42adc95cdf18cae93d9aab3c9;d12ca78f45819afcdbf22dbf6d471e6c58a2ecc7;83ad498995d4c809dc50206cc420a2847a9d159e;a54b85f373c647118c77daab51802a1d06d34fe0;4cdfb7e384ab8b8eb75d94594623aaaa3f505d64;21618d410604e4720678b4311159227287ba05c2;3d2493ef2c53c209308790430767227e27c55ba1;a589b65bd5a6e5dddb8d6bca54487ba9151a4be6;722012f02ee1caee1022a06704c0acf84d1953fe;8456d91def558452b71d0b07c964e04e054a7177;513838258ec2d827ba91ea7c5473cccfbde05285;3395f3c56c96c17d0ea613bfcecd64a92d9e4197;baa8ccb5dc52416deba5793f80538a63c813eb3b;b8655fee9f378191759b2240a5212068578a7a22;623353e9ad6b5bf9e6d6f820c3a4bfc525cda607;ba29b464561486a672f1db536f5ccc3859061260;c2c65537ecd4c9f4857d39d981c3da0235d6d682;cdd379079df7c3c59defef9323b93b06a5fce230;93de8b2cc985b54dac5e63006e08e1e7998eb884;27efee645f62edc613c28a6723d8797fde89efa5;e9e087c328f96bddf61f46300e5286d49d3411d2;e98b353c46b02626d154d8e98512dc9686cf0b68;d2ddbd95e8500cfd3669ab81b64f48956521ea6b;203795277e9c3ba589baa01435bc26f4ea754760;c5e9261036f3d48060e651a31cbd89abfe95de66;3c8ce4e1cc80be59f0da96a203f784f77985b0f7;49882ab99b53f2f5b3bb97134c09651531d44ba2;5add082d4f34574c087779ceab2776efe8ddb6fe;8a7da15f249b6d9fbe21c9cbf70f02b6e9732988;9e80c55338fec739ad8a4059be35adf8f67c13b7,True,UniswapV2Factory,createExchange,/home/cse/Thesis/work/SCRepair2-data/Developer-Fixes/Scripts/data/Uniswap__uniswap-v2-core/uniswap-v2-core/contracts/UniswapV2Factory.sol,Slither:reentrancy-events(51:55)|reentrancy-benign(51:51:54:55)|reentrancy-no-eth(51:53)
