RepoName,#Stars,#Watchers,InspectionTime,LastActivityTime,#ContractFiles
OpenZeppelin/openzeppelin-contracts,8304,453,2020-08-11 20:29:28.085559,2020-08-11T14:56:16Z,114
JoinColony/colonyNetwork,332,34,2020-08-11 20:37:16.222647,2020-07-31T02:04:44Z,62
Synthetixio/synthetix,176,35,2020-08-11 20:40:32.831969,2020-08-11T09:00:54Z,122
sc-forks/solidity-coverage,387,13,2020-08-11 20:47:22.669467,2020-08-06T07:42:10Z,118
ethereum-ts/TypeChain,585,26,2020-08-11 20:48:20.299663,2020-08-10T13:51:34Z,14
poanetwork/tokenbridge-contracts,57,5,2020-08-11 20:48:58.265966,2020-08-03T15:21:36Z,157
dice2-win/contracts,59,4,2020-08-11 20:50:00.098166,2020-07-30T06:41:42Z,1
blockchainsllc/smart-contract,149,49,2020-08-11 20:50:08.740238,2020-07-28T07:57:52Z,4
SetProtocol/set-protocol-contracts,136,19,2020-08-11 20:51:08.299312,2020-08-11T09:09:11Z,164
eshon/conference,170,13,2020-08-11 20:51:43.788602,2020-07-24T07:29:47Z,2
Uniswap/uniswap-v2-core,170,29,2020-08-11 20:53:03.831907,2020-08-11T12:14:28Z,12
ConsenSys/Stow-Smart-Contracts,58,22,2020-08-11 20:57:20.140205,2020-06-17T05:06:25Z,12
raiden-network/raiden-contracts,39,16,2020-08-11 20:58:40.144264,2020-08-05T19:33:37Z,36
enjin/erc-1155,123,25,2020-08-11 20:58:49.084843,2020-08-06T02:45:26Z,20
LoopringSecondary/protocol,217,60,2020-08-11 20:59:05.749380,2020-07-02T19:36:57Z,22
gnosis/pm-contracts,145,15,2020-08-11 21:09:03.532151,2020-08-04T09:20:10Z,28
truffle-box/metacoin-box,60,2,2020-08-11 21:26:54.779413,2020-07-10T05:38:09Z,4
EthWorks/Waffle,221,7,2020-08-11 21:27:14.783001,2020-07-30T23:24:30Z,56
forkdelta/smart_contract,21,6,2020-08-11 21:27:28.437643,2019-06-17T22:50:57Z,5
Fantom-foundation/tokensale,33,17,2020-08-11 21:27:46.400509,2020-04-27T06:14:36Z,4
theabyssportal/DAICO-Smart-Contract,94,25,2020-08-11 21:27:59.703819,2020-08-04T09:22:14Z,23
gongbell/ContractFuzzer,72,10,2020-08-11 21:51:32.107643,2020-08-03T13:26:12Z,0
maticnetwork/contracts,81,25,2020-08-11 21:51:56.405458,2020-08-08T06:41:49Z,94
OpenZeppelin/openzeppelin-test-helpers,135,12,2020-08-11 21:52:24.184890,2020-08-10T22:58:18Z,10
eth-sri/securify,167,10,2020-08-11 21:52:51.555199,2020-08-04T12:48:26Z,137
paxosglobal/pax-contracts,53,23,2020-08-11 21:53:20.184564,2020-07-23T17:23:43Z,14
HydroProtocol/protocol,67,10,2020-08-11 21:53:42.091221,2020-07-30T11:37:10Z,48
InstaDApp/smart-contract,40,3,2020-08-11 21:54:59.279567,2020-08-10T19:56:29Z,56
gnosis/dx-contracts,43,7,2020-08-11 21:56:02.500401,2020-02-18T14:33:46Z,37
dappuniversity/eth-todo-list,80,11,2020-08-11 21:56:13.387814,2020-08-05T01:22:18Z,2
OpenBazaar/smart-contracts,43,6,2020-08-11 21:56:36.143754,2020-05-06T22:54:07Z,10
ConsenSys/ERC1400,139,18,2020-08-11 21:57:18.115202,2020-07-24T05:31:10Z,28
comaeio/porosity,776,60,2020-08-11 21:58:24.630734,2020-06-29T08:21:03Z,1
Firstbloodio/token,126,8,2020-08-11 21:59:42.114198,2020-06-21T08:24:20Z,2
SwissRealCoin/src-token,57,57,2020-08-11 22:00:02.447671,2020-03-18T13:49:34Z,13
tronprotocol/tron-contracts,31,5,2020-08-11 22:00:26.805868,2020-06-23T15:58:59Z,10
pbrudny/learning-solidity-2018,57,8,2020-08-11 22:01:56.629045,2020-07-13T10:49:55Z,12
singnet/platform-contracts,65,23,2020-08-11 22:02:39.478829,2020-08-07T01:45:35Z,5
Bunjin/Rouleth,74,6,2020-08-11 22:02:56.556863,2020-07-23T17:03:50Z,1
zincwork/contracts,56,34,2020-08-11 22:04:03.351171,2020-04-07T10:24:33Z,11
anshulshah96/CrowdBank,66,12,2020-08-11 22:04:27.882278,2020-07-18T19:17:41Z,3
dappuniversity/ico_irl,34,4,2020-08-11 22:04:41.470907,2020-06-02T06:03:57Z,3
Uniswap/uniswap-v2-periphery,64,19,2020-08-11 22:04:59.056341,2020-08-10T06:18:57Z,21
teamnsrg/erays,59,10,2020-08-11 22:05:08.079767,2020-07-02T01:17:25Z,1
raineorshine/solgraph,582,27,2020-08-11 22:05:17.020289,2020-07-10T11:56:29Z,15
PeterBorah/smart-contract-security-examples,50,1,2020-08-11 22:05:34.114326,2020-07-11T07:59:06Z,8
ProjectWyvern/wyvern-ethereum,47,5,2020-08-11 22:06:47.482262,2019-12-13T08:35:04Z,29
fravoll/solidity-patterns,401,39,2020-08-11 22:07:07.116937,2020-08-06T16:26:02Z,20
matter-labs/web3swift,184,16,2020-08-11 22:08:26.754126,2020-08-11T08:52:24Z,4
makerdao/developerguides,215,42,2020-08-11 22:08:46.106175,2020-08-10T18:32:56Z,2
PegaSysEng/permissioning-smart-contracts,17,4,2020-08-11 22:09:07.048993,2020-08-03T23:10:48Z,16
ampleforth/uFragments,55,9,2020-08-11 22:20:16.620948,2020-08-10T03:43:31Z,14
cjgdev/smart-contract-patterns,55,2,2020-08-11 22:20:33.373167,2019-10-17T09:47:30Z,20
slim12kg/tokenzendr-contract,23,2,2020-08-11 22:21:05.868591,2020-06-23T22:25:59Z,4
authereum/contracts,22,5,2020-08-11 22:21:22.522317,2020-08-03T06:49:56Z,55
sc0Vu/web3.php,463,37,2020-08-11 22:22:03.461523,2020-08-04T06:42:19Z,2
IBM/loyalty-points-evm-fabric,34,9,2020-08-11 22:22:24.761591,2020-07-21T02:03:45Z,1
gnosis/dex-contracts,40,9,2020-08-11 22:22:39.875201,2020-08-11T02:47:12Z,9
ConsenSys/eventeum,226,20,2020-08-11 22:22:55.509181,2020-08-08T00:16:35Z,1
dapphub/klab,83,18,2020-08-11 22:23:23.503477,2020-08-06T18:52:48Z,7
2key/contracts,27,9,2020-08-11 22:31:40.285278,2020-08-11T11:35:27Z,174
dapperlabs/dapper-contracts,37,11,2020-08-11 22:31:55.119373,2020-05-23T05:23:18Z,28
vittominacori/erc20-generator,86,8,2020-08-11 22:32:54.586725,2020-08-10T11:12:54Z,5
FourthState/plasma-mvp-rootchain,76,8,2020-08-11 22:33:11.681814,2020-08-03T10:19:15Z,10
HAECHI-LABS/vvisp,90,20,2020-08-11 22:33:30.911714,2020-07-13T08:40:51Z,25
ConsenSys/truffle-security,104,27,2020-08-11 22:33:42.218805,2020-08-06T08:01:09Z,13
InstaDApp/InstaContract,31,2,2020-08-11 22:34:04.229979,2020-07-09T23:32:40Z,14
alastria/alastria-identity,27,31,2020-08-11 22:34:36.545140,2020-08-07T10:59:53Z,12
truechain/smart-contracts-lib,18,4,2020-08-11 22:34:48.015289,2019-09-04T02:42:59Z,1
b-mueller/sabre,33,4,2020-08-11 22:36:02.210861,2020-06-22T07:38:57Z,16
mstable/mStable-contracts,44,3,2020-08-11 22:36:15.044375,2020-08-11T07:52:17Z,75
tomochain/ico-contracts,13,8,2020-08-11 22:36:41.603611,2020-05-28T08:57:43Z,3
DecenterApps/defisaver-contracts,16,5,2020-08-11 22:37:04.790920,2020-08-11T12:02:31Z,157
NexusMutual/smart-contracts,22,4,2020-08-11 22:37:53.899438,2020-08-07T13:34:23Z,56
gnosis/conditional-tokens-contracts,45,8,2020-08-11 22:38:16.557502,2020-08-10T17:02:26Z,12
